"","label","node","genus","species","scientificname.y","virus_name","vtaxid","interaction","uid","mostaxid","virus_code"
"137","Ochlerotatus_intrudens",71,"Ochlerotatus","intrudens","Ochlerotatus intrudens","Japanese encephalitis virus",11072,1,228921,228921,"JEV"
"138","Ochlerotatus_intrudens",71,"Ochlerotatus","intrudens","Ochlerotatus intrudens","West Nile virus",11082,1,228921,228921,"WNV"
"139","Ochlerotatus_diantaeus",72,"Ochlerotatus","diantaeus","Ochlerotatus diantaeus",NA,NA,NA,1129559,1129559,NA
"140","Acartomyia_phoeniciae",73,"Acartomyia","phoeniciae","Acartomyia phoeniciae",NA,NA,NA,1548036,1548036,NA
"141","Ochlerotatus_caspius",74,"Ochlerotatus","caspius","Ochlerotatus caspius","Japanese encephalitis virus",11072,1,120870,120870,"JEV"
"142","Ochlerotatus_caspius",74,"Ochlerotatus","caspius","Ochlerotatus caspius","West Nile virus",11082,1,120870,120870,"WNV"
"143","Ochlerotatus_caspius",74,"Ochlerotatus","caspius","Ochlerotatus caspius","Yellow fever virus",11089,1,120870,120870,"YFV"
"144","Ochlerotatus_dorsalis",75,"Ochlerotatus","dorsalis","Ochlerotatus dorsalis","Japanese encephalitis virus",11072,1,663928,663928,"JEV"
"145","Ochlerotatus_dorsalis",75,"Ochlerotatus","dorsalis","Ochlerotatus dorsalis","Saint Louis encephalitis virus",11080,1,663928,663928,"SLEV"
"146","Ochlerotatus_dorsalis",75,"Ochlerotatus","dorsalis","Ochlerotatus dorsalis","West Nile virus",11082,1,663928,663928,"WNV"
"147","Ochlerotatus_dorsalis",75,"Ochlerotatus","dorsalis","Ochlerotatus dorsalis","Yellow fever virus",11089,1,663928,663928,"YFV"
"148","Acartomyia_zammitii",76,"Acartomyia","zammitii","Acartomyia zammitii",NA,NA,NA,1548034,1548034,NA
"149","Coquillettidia_buxtoni",77,"Coquillettidia","buxtoni","Coquillettidia buxtoni",NA,NA,NA,2547966,2547966,NA
"150","Coquillettidia_richiardii",78,"Coquillettidia","richiardii","Coquillettidia richiardii","West Nile virus",11082,1,1245328,1245328,"WNV"
"151","Anopheles_pharoensis",79,"Anopheles","pharoensis","Anopheles pharoensis",NA,NA,NA,221566,221566,NA
"152","Anopheles_arabiensis",80,"Anopheles","arabiensis","Anopheles arabiensis",NA,NA,NA,7173,7173,NA
"153","Anopheles_coluzzii",81,"Anopheles","coluzzii","Anopheles coluzzii",NA,NA,NA,1518534,1518534,NA
"154","Anopheles_fluviatilis",82,"Anopheles","fluviatilis","Anopheles fluviatilis",NA,NA,NA,111615,111615,NA
"155","Anopheles_culicifacies",83,"Anopheles","culicifacies","Anopheles culicifacies",NA,NA,NA,139723,139723,NA
"156","Anopheles_dthali",84,"Anopheles","dthali","Anopheles dthali",NA,NA,NA,262009,262009,NA
"157","Anopheles_sacharovi",85,"Anopheles","sacharovi","Anopheles sacharovi",NA,NA,NA,72408,72408,NA
"158","Anopheles_messeae",86,"Anopheles","messeae","Anopheles messeae",NA,NA,NA,41430,41430,NA
"159","Anopheles_melanoon",87,"Anopheles","melanoon","Anopheles melanoon",NA,NA,NA,73143,73143,NA
"160","Anopheles_labranchiae",88,"Anopheles","labranchiae","Anopheles labranchiae",NA,NA,NA,41428,41428,NA
"161","Anopheles_atroparvus",89,"Anopheles","atroparvus","Anopheles atroparvus",NA,NA,NA,41427,41427,NA
"162","Anopheles_maculipennis",90,"Anopheles","maculipennis","Anopheles maculipennis",NA,NA,NA,82858,82858,NA
"163","Anopheles_pulcherrimus",91,"Anopheles","pulcherrimus","Anopheles pulcherrimus",NA,NA,NA,159154,159154,NA
"164","Anopheles_stephensi",92,"Anopheles","stephensi","Anopheles stephensi",NA,NA,NA,30069,30069,NA
"165","Anopheles_cinereus",93,"Anopheles","cinereus","Anopheles cinereus",NA,NA,NA,1632206,1632206,NA
"166","Anopheles_claviger",94,"Anopheles","claviger","Anopheles claviger",NA,NA,NA,120868,120868,NA
"167","Anopheles_hyrcanus",95,"Anopheles","hyrcanus","Anopheles hyrcanus",NA,NA,NA,138534,138534,NA
"168","Anopheles_coustani",96,"Anopheles","coustani","Anopheles coustani",NA,NA,NA,139045,139045,NA
"169","Anopheles_ziemanni",97,"Anopheles","ziemanni","Anopheles ziemanni",NA,NA,NA,345580,345580,NA
"170","Anopheles_tenebrosus",98,"Anopheles","tenebrosus","Anopheles tenebrosus",NA,NA,NA,345579,345579,NA
"171","Anopheles_plumbeus",99,"Anopheles","plumbeus","Anopheles plumbeus",NA,NA,NA,227531,227531,NA
"172","Uranotaenia_balfouri",100,"Uranotaenia","balfouri","Uranotaenia balfouri",NA,NA,NA,1551375,1551375,NA
"173","Anopheles_algeriensis",101,"Anopheles","algeriensis","Anopheles algeriensis",NA,NA,NA,1411912,1411912,NA
"174","Culex_impudicus",102,"Culex","impudicus","Culex impudicus","West Nile virus",11082,1,1464560,1464560,"WNV"
"175","Culex_martinii",103,"Culex","martinii","Culex martinii",NA,NA,NA,2306907,2306907,NA
"176","Culex_europaeus",104,"Culex","europaeus","Culex europaeus","West Nile virus",11082,1,1464558,1464558,"WNV"
"177","Culex_territans",105,"Culex","territans","Culex territans","Japanese encephalitis virus",11072,1,42431,42431,"JEV"
"178","Culex_territans",105,"Culex","territans","Culex territans","Saint Louis encephalitis virus",11080,1,42431,42431,"SLEV"
"179","Culex_territans",105,"Culex","territans","Culex territans","West Nile virus",11082,1,42431,42431,"WNV"
"180","Culex_hortensis",106,"Culex","hortensis","Culex hortensis","West Nile virus",11082,1,1464559,1464559,"WNV"
"181","Culex_deserticola",107,"Culex","deserticola","Culex deserticola","West Nile virus",11082,1,1795353,1795353,"WNV"
